id,logged_at,symbol,direction,entry,stop,target1,target2,qty,rupees_at_risk,status,exit_time,exit_price,pnl,r_multiple,outcome,tag,score
HINDALCO_20260628_150126,2026-06-28T15:01:26.858504+05:30,HINDALCO,SHORT,952.1,954.55,948.42,944.74,105.0,257.6,CLOSED,2026-06-30T00:00:00+05:30,954.55,-257.25,-1.0,stop,core,
HCLTECH_20260628_150126,2026-06-28T15:01:26.858504+05:30,HCLTECH,SHORT,1101.0,1104.97,1095.05,1089.1,90.0,356.98,CLOSED,2026-06-30T00:00:00+05:30,1104.97,-357.3,-1.0,stop,core,
KOTAKBANK_20260628_150126,2026-06-28T15:01:26.858504+05:30,KOTAKBANK,SHORT,409.0,410.38,406.93,404.86,244.0,336.9,CLOSED,2026-06-30T00:00:00+05:30,406.93,505.08,1.5,target,core,
BAJFINANCE_20260628_150126,2026-06-28T15:01:26.858504+05:30,BAJFINANCE,SHORT,980.4,983.84,975.24,970.09,101.0,347.25,CLOSED,2026-06-30T00:00:00+05:30,983.84,-347.44,-1.0,stop,core,
KAJARIACER_20260629_084528,2026-06-29T08:45:28.198644+05:30,KAJARIACER,LONG,1196.6,1136.77,1292.33,1388.06,16.0,957.28,OPEN,,,,,,core,
OFSS_20260629_084528,2026-06-29T08:45:28.198644+05:30,OFSS,LONG,10974.5,10425.77,11852.46,12730.42,1.0,548.73,OPEN,,,,,,core,
FEDERALBNK_20260629_084528,2026-06-29T08:45:28.198644+05:30,FEDERALBNK,LONG,324.05,307.85,349.97,375.9,61.0,988.35,OPEN,,,,,,core,
SOUTHBANK_20260629_084528,2026-06-29T08:45:28.198644+05:30,SOUTHBANK,LONG,45.41,43.14,49.04,52.68,440.0,999.02,OPEN,,,,,,core,
DRREDDY_20260629_091956,2026-06-29T09:19:56.104831+05:30,DRREDDY,LONG,1404.1,1333.89,1516.43,1628.76,14.0,982.87,CLOSED,2026-07-01T00:00:00+05:30,1333.89,-982.94,-1.0,stop,intraday,
BHARATFORG_20260629_172050,2026-06-29T17:20:50.326747+05:30,BHARATFORG,LONG,2170.9,2062.35,2344.57,2518.24,9.0,976.9,CLOSED,2026-06-30T00:00:00+05:30,2062.35,-976.95,-1.0,stop,intraday,80.2
ONGC_20260630_011331,2026-06-30T01:13:31.701362+05:30,ONGC,SHORT,233.1,244.76,214.45,195.8,85.0,990.68,CLOSED,2026-07-07T00:00:00+05:30,244.76,-991.1,-1.0,stop,core,89.9
VEDL_20260630_011331,2026-06-30T01:13:31.701362+05:30,VEDL,SHORT,273.45,287.12,251.57,229.7,73.0,998.09,OPEN,,,,,,core,82.3
CHOLAFIN_20260630_011331,2026-06-30T01:13:31.701362+05:30,CHOLAFIN,LONG,1799.2,1709.24,1943.14,2087.07,11.0,989.56,OPEN,,,,,,core,79.0
NATIONALUM_20260630_011331,2026-06-30T01:13:31.701362+05:30,NATIONALUM,SHORT,332.15,348.76,305.58,279.01,60.0,996.45,CLOSED,2026-07-03T00:00:00+05:30,348.76,-996.6,-1.0,stop,core,71.5
KAJARIACER_20260630_011331,2026-06-30T01:13:31.701362,,,,,,,,,,,,,,,,
SHRIRAMFIN_20260702_112432,2026-07-02T11:24:32.565523+05:30,SHRIRAMFIN,LONG,1066.5,1013.53,1161.85,1251.91,18.0,953.54,OPEN,,,,,,core,79.05555555555556
CHOLAFIN_20260702_112432,2026-07-02T11:24:32.565523+05:30,CHOLAFIN,LONG,1802.3,1718.0,1954.03,2097.34,11.0,927.26,OPEN,,,,,,core,74.0
BAJFINANCE_20260702_112432,2026-07-02T11:24:32.565523+05:30,BAJFINANCE,LONG,1022.0,975.42,1105.85,1185.04,21.0,978.21,OPEN,,,,,,core,69.43333333333334
NYKAA_20260702_112432,2026-07-02T11:24:32.565523+05:30,NYKAA,LONG,311.2,296.63,337.42,362.18,68.0,990.51,OPEN,,,,,,core,68.45555555555555
AUBANK_20260702_112432,2026-07-02T11:24:32.565523+05:30,AUBANK,LONG,1064.8,1012.95,1158.13,1246.28,19.0,985.2,OPEN,,,,,,core,56.25555555555556
FINCABLES_20260702_112432,2026-07-02T11:24:32.565523+05:30,FINCABLES,LONG,1145.9,1088.61,1249.03,1346.43,17.0,974.02,CLOSED,2026-07-06T00:00:00+05:30,1088.61,-973.93,-1.0,stop,core,55.05555555555556
SHRIRAMFIN_20260703_130308,2026-07-03T13:03:08.836899+05:30,SHRIRAMFIN,LONG,1074.5,1025.39,1162.9,1246.39,20.0,982.25,OPEN,,,,,,core,86.6
BAJFINANCE_20260703_130308,2026-07-03T13:03:08.836899+05:30,BAJFINANCE,LONG,1038.0,991.55,1121.62,1200.59,21.0,975.54,OPEN,,,,,,core,76.0
ABCAPITAL_20260703_130308,2026-07-03T13:03:08.836899+05:30,ABCAPITAL,LONG,403.85,383.66,440.2,474.52,49.0,989.43,OPEN,,,,,,core,76.0
JBCHEPHARM_20260703_130308,2026-07-03T13:03:08.836899+05:30,JBCHEPHARM,LONG,2368.0,2262.61,2557.71,2736.88,9.0,948.55,OPEN,,,,,,core,75.8
CHOLAFIN_20260703_130308,2026-07-03T13:03:08.836899+05:30,CHOLAFIN,LONG,1800.2,1716.14,1951.51,2094.42,11.0,924.68,OPEN,,,,,,core,74.0
ICICIBANK_20260703_130308,2026-07-03T13:03:08.836899+05:30,ICICIBANK,LONG,1413.3,1365.03,1500.18,1582.24,20.0,965.37,OPEN,,,,,,core,73.8
AUROPHARMA_20260703_130308,2026-07-03T13:03:08.836899+05:30,AUROPHARMA,LONG,1632.5,1557.45,1767.59,1895.18,13.0,975.68,OPEN,,,,,,core,71.9
MAXHEALTH_20260703_130308,2026-07-03T13:03:08.836899+05:30,MAXHEALTH,LONG,1156.0,1098.2,1260.04,1358.3,17.0,982.6,OPEN,,,,,,core,71.9
CHOLAFIN_20260706_140935,2026-07-06T14:09:35.844130+05:30,CHOLAFIN,LONG,1832.9,1744.65,1991.75,2141.77,11.0,970.74,OPEN,,,,,,core,96.3
DELHIVERY_20260706_140935,2026-07-06T14:09:35.844130+05:30,DELHIVERY,LONG,515.05,489.3,561.4,605.18,38.0,978.59,OPEN,,,,,,core,94.7
GODREJPROP_20260706_140935,2026-07-06T14:09:35.844130+05:30,GODREJPROP,LONG,2036.8,1934.96,2220.11,2393.24,9.0,916.56,OPEN,,,,,,core,89.9
ABCAPITAL_20260706_140935,2026-07-06T14:09:35.844130+05:30,ABCAPITAL,LONG,409.1,388.89,445.47,479.82,49.0,990.14,OPEN,,,,,,core,88.2
ICICIBANK_20260706_140935,2026-07-06T14:09:35.844130+05:30,ICICIBANK,LONG,1426.0,1378.29,1511.87,1592.97,20.0,954.13,OPEN,,,,,,core,81.0
MANAPPURAM_20260706_140935,2026-07-06T14:09:35.844130+05:30,MANAPPURAM,LONG,344.8,327.56,375.83,405.14,58.0,999.92,OPEN,,,,,,core,76.8
AUBANK_20260706_140935,2026-07-06T14:09:35.844130+05:30,AUBANK,LONG,1067.4,1014.46,1162.69,1252.69,18.0,952.93,OPEN,,,,,,core,74.4
NYKAA_20260706_140935,2026-07-06T14:09:35.844130+05:30,NYKAA,LONG,312.8,297.16,340.95,367.54,63.0,985.32,OPEN,,,,,,core,73.1
DELHIVERY_20260707_132051,2026-07-07T13:20:51.000160+05:30,DELHIVERY,LONG,520.1,494.09,566.91,611.12,38.0,988.19,OPEN,,,,,,core,89.9
CHOLAFIN_20260707_132051,2026-07-07T13:20:51.000160+05:30,CHOLAFIN,LONG,1846.6,1755.89,2009.87,2164.07,11.0,997.77,OPEN,,,,,,core,82.6
JBCHEPHARM_20260707_132051,2026-07-07T13:20:51.000160+05:30,JBCHEPHARM,LONG,2418.0,2315.48,2602.53,2776.81,9.0,922.66,OPEN,,,,,,core,82.5
SHRIRAMFIN_20260707_132051,2026-07-07T13:20:51.000160+05:30,SHRIRAMFIN,LONG,1072.3,1022.63,1161.7,1246.13,20.0,993.34,OPEN,,,,,,core,80.1
TITAN_20260707_132051,2026-07-07T13:20:51.000160+05:30,TITAN,LONG,4587.8,4397.22,4930.84,5254.82,5.0,952.89,OPEN,,,,,,core,76.3
HFCL_20260707_132051,2026-07-07T13:20:51.000160+05:30,HFCL,LONG,219.29,208.33,239.03,257.67,91.0,997.77,OPEN,,,,,,core,73.7
BAJFINANCE_20260707_132051,2026-07-07T13:20:51.000160+05:30,BAJFINANCE,LONG,1034.5,990.26,1114.13,1189.34,22.0,973.3,OPEN,,,,,,core,69.7
NYKAA_20260707_132051,2026-07-07T13:20:51.000160+05:30,NYKAA,LONG,314.3,298.86,342.09,368.33,64.0,988.02,OPEN,,,,,,core,64.3
